"Configuration","Establishment_date","Establishment_rate","Coverage","Effect","EI_prioritization","EI_ID","Scenario_end","Step_length","Scenario_ID","Time_step","Target_classes","Prob_perturb_threshold"
"Connectivity","2030","Steady","0.25","Preservation","Agri_unproductive",45,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Steady","0.25","Preservation","Agri_unproductive",46,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Steady","0.25","Preservation","Agri_unproductive",47,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Steady","0.25","Preservation","Agri_unproductive",48,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Rapid","0.25","Preservation","Agri_unproductive",49,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Rapid","0.25","Preservation","Agri_unproductive",50,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Rapid","0.25","Preservation","Agri_unproductive",51,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Rapid","0.25","Preservation","Agri_unproductive",52,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Rapid","0.25","Preservation","Agri_unproductive",53,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Rapid","0.25","Preservation","Agri_unproductive",54,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Rapid","0.25","Preservation","Agri_unproductive",55,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Rapid","0.25","Preservation","Agri_unproductive",56,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Rapid","0.25","Preservation","Agri_unproductive",57,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Rapid","0.25","Preservation","Agri_unproductive",58,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Rapid","0.25","Preservation","Agri_unproductive",59,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Rapid","0.25","Preservation","Agri_unproductive",60,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Lagged","0.25","Preservation","Agri_unproductive",61,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Lagged","0.25","Preservation","Agri_unproductive",62,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Lagged","0.25","Preservation","Agri_unproductive",63,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Lagged","0.25","Preservation","Agri_unproductive",64,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Lagged","0.25","Preservation","Agri_unproductive",65,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Lagged","0.25","Preservation","Agri_unproductive",66,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Lagged","0.25","Preservation","Agri_unproductive",67,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Lagged","0.25","Preservation","Agri_unproductive",68,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Lagged","0.25","Preservation","Agri_unproductive",69,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Lagged","0.25","Preservation","Agri_unproductive",70,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Lagged","0.25","Preservation","Agri_unproductive",71,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Lagged","0.25","Preservation","Agri_unproductive",72,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Steady","0.3","Preservation","Agri_unproductive",73,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Steady","0.3","Preservation","Agri_unproductive",74,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Steady","0.3","Preservation","Agri_unproductive",75,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Steady","0.3","Preservation","Agri_unproductive",76,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Steady","0.3","Preservation","Agri_unproductive",77,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Steady","0.3","Preservation","Agri_unproductive",78,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Steady","0.3","Preservation","Agri_unproductive",79,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Steady","0.3","Preservation","Agri_unproductive",80,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Steady","0.3","Preservation","Agri_unproductive",81,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Steady","0.3","Preservation","Agri_unproductive",82,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Steady","0.3","Preservation","Agri_unproductive",83,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Steady","0.3","Preservation","Agri_unproductive",84,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Rapid","0.3","Preservation","Agri_unproductive",85,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Rapid","0.3","Preservation","Agri_unproductive",86,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Rapid","0.3","Preservation","Agri_unproductive",87,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Rapid","0.3","Preservation","Agri_unproductive",88,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Rapid","0.3","Preservation","Agri_unproductive",89,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Rapid","0.3","Preservation","Agri_unproductive",90,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Rapid","0.3","Preservation","Agri_unproductive",91,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Rapid","0.3","Preservation","Agri_unproductive",92,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Rapid","0.3","Preservation","Agri_unproductive",93,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Rapid","0.3","Preservation","Agri_unproductive",94,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Rapid","0.3","Preservation","Agri_unproductive",95,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Rapid","0.3","Preservation","Agri_unproductive",96,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Lagged","0.3","Preservation","Agri_unproductive",97,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2020","Lagged","0.3","Preservation","Agri_unproductive",98,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2020","Lagged","0.3","Preservation","Agri_unproductive",99,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2025","Lagged","0.3","Preservation","Agri_unproductive",100,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2025","Lagged","0.3","Preservation","Agri_unproductive",101,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2025","Lagged","0.3","Preservation","Agri_unproductive",102,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2030","Lagged","0.3","Preservation","Agri_unproductive",103,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2030","Lagged","0.3","Preservation","Agri_unproductive",104,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2030","Lagged","0.3","Preservation","Agri_unproductive",105,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2035","Lagged","0.3","Preservation","Agri_unproductive",106,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Small_patches","2035","Lagged","0.3","Preservation","Agri_unproductive",107,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Connectivity","2035","Lagged","0.3","Preservation","Agri_unproductive",108,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Urban, Int_AG, Perm_crops",5
"Large_patches","2020","Steady","0.22","Restoration","Agri_unproductive",109,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2020","Steady","0.22","Restoration","Agri_unproductive",110,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2020","Steady","0.22","Restoration","Agri_unproductive",111,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2025","Steady","0.22","Restoration","Agri_unproductive",112,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2025","Steady","0.22","Restoration","Agri_unproductive",113,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2025","Steady","0.22","Restoration","Agri_unproductive",114,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2030","Steady","0.22","Restoration","Agri_unproductive",115,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2030","Steady","0.22","Restoration","Agri_unproductive",116,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2030","Steady","0.22","Restoration","Agri_unproductive",117,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2035","Steady","0.22","Restoration","Agri_unproductive",118,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2035","Steady","0.22","Restoration","Agri_unproductive",119,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2035","Steady","0.22","Restoration","Agri_unproductive",120,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2020","Rapid","0.22","Restoration","Agri_unproductive",121,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2020","Rapid","0.22","Restoration","Agri_unproductive",122,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2020","Rapid","0.22","Restoration","Agri_unproductive",123,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2025","Rapid","0.22","Restoration","Agri_unproductive",124,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2025","Rapid","0.22","Restoration","Agri_unproductive",125,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2025","Rapid","0.22","Restoration","Agri_unproductive",126,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2030","Rapid","0.22","Restoration","Agri_unproductive",127,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2030","Rapid","0.22","Restoration","Agri_unproductive",128,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2030","Rapid","0.22","Restoration","Agri_unproductive",129,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2035","Rapid","0.22","Restoration","Agri_unproductive",130,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2035","Rapid","0.22","Restoration","Agri_unproductive",131,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2035","Rapid","0.22","Restoration","Agri_unproductive",132,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2020","Lagged","0.22","Restoration","Agri_unproductive",133,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2020","Lagged","0.22","Restoration","Agri_unproductive",134,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2020","Lagged","0.22","Restoration","Agri_unproductive",135,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2025","Lagged","0.22","Restoration","Agri_unproductive",136,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2025","Lagged","0.22","Restoration","Agri_unproductive",137,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2025","Lagged","0.22","Restoration","Agri_unproductive",138,"2060",5,"BAU","2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2030","Lagged","0.22","Restoration","Agri_unproductive",139,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2030","Lagged","0.22","Restoration","Agri_unproductive",140,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2030","Lagged","0.22","Restoration","Agri_unproductive",141,"2060",5,"BAU","2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2035","Lagged","0.22","Restoration","Agri_unproductive",142,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2035","Lagged","0.22","Restoration","Agri_unproductive",143,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Connectivity","2035","Lagged","0.22","Restoration","Agri_unproductive",144,"2060",5,"BAU","2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Large_patches","2020","Steady","0.25","Restoration","Agri_unproductive",145,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
"Small_patches","2020","Steady","0.25","Restoration","Agri_unproductive",146,"2060",5,"BAU","2020, 2025, 2030, 2035, 2040, 2045, 2050, 2055, 2060","Open_Forest, Closed_Forest, Grassland",5
